userid,twitterid
1436481736095924224,parkjs_
1344193753502773249,tthxxl
1259107783770697730,xx_oweo
1344186273523634177,cloudyx88s
1358441585113878528,lvpiecity
1471836280409391105,cxvaa_
1296372852556324865,remindersph
1300950325935984640,thatbitchhzaii
1370432659848011785,mellyprw
1061446641360617473,royan_farid
1059915727161835520,ezahrld
1316973992239001600,karihantyast
1353923754569519105,NitaFifit
1356130919359279104,Sisagitarious
1116850603995439105,akbarpratamasta
1303245505858646017,jessicaberliin
141186163,iqbaale
1141145918881722368,peachvloud
1257439688912261120,najaemily_
1218725553521352704,kutipanrinduu_
622742881,Andrewvnsyrf
922718168761622529,rioporat
1289714731570225153,selfreminder_id
1223562826674884616,merdeka_wp
1213869273640136704,jevanadi
1335912893343092737,rivanatriapril
1374983707379916806,saekhanuri
1247456730520285185,wahyuhdyttt_
1322384681325617152,ibrokelvin
1346308956054900738,HalimahSadina
1246658267163451393,tiaraayrmnd
2563446104,benbeen_
804697516767907840,_whhy
1397768596353216512,Risman84646939
72842511,bayu_joo
1123122724673482752,bukan_jojo
16882261,ernestprakasa
1240088903429664768,IBUNSEUNGMIN
1211486740956844032,vxtaelogy
1331953714999955456,ndoyoungie
1330934780066623488,seokjinmoonie
1290234123160756225,shynvjkm
1367650985405870080,Kiyowotaa1
1120210853469380610,milgyway
1400136042661941253,loveagainnn
1362075893825376257,czenniesta
1272503787723190272,carrpet_
1144955839729418241,90shtinqs
1367640793523970052,pluffyluf
1564820592,zenitosu
1163091584809754624,devnydwi_
1283940766201462785,Siti_Khadijah95
979392686,txtdarionlshop
1112628792076333056,txtdarioffstore
1203319588135399424,luculucuaaan
1340696752106565632,laamrkty
1268931818704666624,ayanghaechan
1277157664896593920,jaehyukfav
1351497165856620544,RICKDRCH
1159371458277040128,sjhopebi
1303889081651224577,souriecandiest
1352441300012863490,046ftfromgyu
1230860938955223040,Qyutiepie3
1131395086871277568,creamloey
2904300411,luciouswag
1353846240048345089,njskjjkth
69356087,Hadithoftheday
958325040,QuranAndHadithh
1384832252048150528,1O435
442967132,Twetbijak
1158335069745844225,EnglishFestID
1070405236806709248,nksthi
57009530,yurayunita
71436318,KompasTV
154102750,Beritasatu
18071520,antaranews
68930552,mediaindonesia
318854466,candrapratams
1304427709318090753,golonganfakboii
1184747579419938816,izaenn_
1288046688343482375,oureyow
1370187306326396929,PrambudiArio
893714295564910592,EmirichuYT
1376804239855378437,FariziKemal
567066433,Husen_Jafar
996994978340528129,noice_id
954019092700303360,rowanna_09
1393912532,Chndrawhyn
875792932963364864,Azijik
1175457070872592384,prakosobayu_
1310553925905391616,LTYFEED
1352277997517066242,peacheeps
2899097820,Mhdddiii
232180841,KamusCewek
1320662722149691392,urshawtyyyy
1334496766360580096,fahmimisteri
1019166892672446464,ReceinAja
1355057081221410817,EffendiZheran
1350011502367965192,SerlinaWulanda1
1346021661468811267,PancaPutra01
1352464066212585473,MilatiNathania
1367694592942903297,HanaWindari
1353616028526211075,inaya_yuni
1367369672761376770,SilviaZihan
1367703010776813576,AniztaF
1306490779007774720,SheeShely
1314116110959210496,ClarissaAnggra3
1314463978110640128,OktafianaSavit1
1303922506613489666,MellaAprilia9
1352508838579113985,PangestuArdha
1303253664056836096,HildaAp85024743
1310784207120105478,HzrhZirah
1306441457847468032,monia_putri
1368817626311364612,LeinaPutri
1369189941503139840,salsabila_irana
1358611740913790983,DiniMarsha4
1367488774482112520,SariTania14
1366985654547009537,SariAyuyyy
1343461093054660609,YuniOkta_
1358625817463504897,DianAnn52916416
1310468465027940352,NabilaL10386693
2387038016,Riyansupyans
1377456150384320521,gogumatyongie
1344299111445532680,hhuangrnjn
1364144430148505603,henderyxs
2272554570,yunusmugia
1283432510945280001,grcjessicajane
1333112753452576768,bebelacoco
1332509726010085377,riridwftr
238785671,infronthood
1367731358416601088,nayxkun
1198443705935335424,fuckphysic
1292426398359883776,xsnangang
1350023349380894720,shxxmrco
1348098097184792579,lacfilledhiver
1356126603906928641,mrkcxy
1239876962060881921,markmaulllz
1429784317861908482,haechanniiie
1331269690644054017,neoctgirl
1344454809173204997,pororoxpingu
1357260981399818241,ucrackmarkookie
1356874031719280643,NSTCIAA
1233032579198177280,starybunny
1400054524618809346,easpoir
1309454395822669824,jungwoni_
1329974344844382209,renjaesung
1254757285429047297,beezsea19
1146774269377961990,ateezmfs
1353306696156778497,yaakhei
1315638198303744001,dwrlmaa
1484044361021407234,Jenasiburian
1453590309548408836,jjazvyn
1466717338560970752,mahen_lee
1370468599542861824,wiyoo_shva
3318403903,dharmanseorang
1371459120717459465,AutoPromo7
920579681471963136,TopToross
1406264798422073349,EPras92
1352323938,renspeto
1380787905782673409,hannie_nieninay
1465205142265819136,Saarangheyoo
983012025189130240,ten10hk
862600351,kitabisacom
49553104,angklungudjo
1475117539688517634,inikaleee
1322182155506606080,increvdiblesz
1240627844868268033,treasuremembers
23375688,selenagomez
1369622803465396228,yaudadeiya
1277834063970099202,yaudahiiyaaaa
945195235860037633,arterybb
1247763482113495043,figabut
1494559950449758211,Chikakikuu
2493796416,lattecoffw
183718365,KomnasHAM
600873456,_TNIAU
631701837,Kemdikbud_RI
891564038781415424,MasMenteri
798437515627593728,NataliusPigai
1145730463341793280,monmonicagraysh
3080310661,deaystna
1272071329634586626,feelingsoweird
1349255185026043904,LaniAmelia9
771337601269714944,JatimPemprov
1348848766023946243,AbimanyuBara1
1376527859473256450,Larasatiiyyy
1369207732176187398,zaidfadilah21
1341263309371162625,CherylChika12
1385052886615269377,MonicaDian11
1349231485581107200,LailaAyuu01
298910828,farisandani
1189069552220422144,Ferignw21
1421539772242153485,aapaajaaa
1391386177387700232,nia_fasari
734800004,panggilajaayu
1351032764011843585,FauziAlfarizki
1364854001552945153,ErdityaFaris
1340890599717662720,FitriaPtrrr
1369222399741227012,jihan_alea
1376000832764739594,PantauPapua
1168362673177645056,shincostannnn
1254543810471723008,Rain_shefaa
1334891805939179521,johanprammudya
1367364484902227969,HalinaPutri
1358619133160611847,Renata93331627
1210342758029807616,starfess
1105524072471945216,kristoimmanuel
1367806413666279424,gwcantikjgniri
1353574359445606401,AsyirahP
817398294,ayuasarri
1262082509031895040,rrrrrruto
1201673806156161025,schfess
1259339498921422848,abdi_norihsan
22126902,republikaonline
15180887,Repub
1352572102881075200,kutipanx
375995332,OfficialiNewsTV
1198243025069080577,hellogigit
1077094784353763328,Afaaaaa21
1165668010234806273,armyfess_
1215161180957732864,WatiYunita2
18129942,tempodotco
1312407048882196484,mutualandfess5
1276382152146317312,pamungkas_saidd
1291521841438187520,anggaeo
1095352812840472576,SimpleM81378523
513996259,Alfisukriyan
1277250144405041152,sstrongerrr
897237030,recklesqq
1267778396894851072,selfhealing_id
1305512478953021440,remajasakjiw
3301997832,hamtaro______
1088800692205117440,andrigunardiii
575281171,nggakpeka
1332097290916425728,elaaacakep
1155606361683550210,ntomatacharito
1636482398,alfaridzrayhan
852818033907179522,Ayy_only
1191672568509390848,rumahrasaa
1299018304296689670,inthebluesky21
1351460268295954434,littlestargguk
2503460694,wivpe
1280275182280519681,bucintawanv
1370054146087264257,tiwayyyiee
1348514544507711498,asahiluvv_
1432181621675814917,neocitys_
1321694293191389184,lhaechanies
1365164551432409090,dngsicherng
1421470662057598985,feyzadhini_
1367145339002572801,arlertisme
1356035955409317891,JLYXCX
1344578424254283776,potilovdaegal
1343483269275217921,xtjungjaehyunn
1216740317300310017,eh_ovo__nctzen
1255980982445895681,beginjeonnn
1370146723914387457,Haesthetichan06
1360465563810557953,belcnle2
