userid,twitterid
3160087765,['gofhbbarde']
2239517454,['keva42nlatus']
3167764260,['orindasau9']
902818169936646144,['al3sk37VCTNv7o6']
1064610348,['sabohc']
1295263134,['GileebfKate']
902819018276577280,['3TK8sUSVvf4mLkP']
919098981141004288,['bnmtyyjks']
1017843334189146113,['momorensheng']
960872798,['marciac17852693']
73404051,['mike4475']
907863681639137281,['ncfhxc101']
4643302950,['eng095957913571']
917021041012232193,['galinaorlova125']
902781256970248192,['tzBoTQ3bkNFmAVu']
1071957205992304640,['marchant71729']
301501680,['do2cvmxv']
890549859949961217,['ChunyaJiang']
898511807534551041,['CxGw91lW3BVkBpl']
898512790260002816,['4LQnZr6gthcQ8IW']
1100698913143545861,['hamilton3083']
898578084043132929,['5CXklZCdBDLB1Gb']
2527996152,['hGvsgsa']
891011817388027907,['w0MDPQVeBEq2WTA']
547149974,['marylingozpra']
898583635577761792,['9Ujr217x2dZcESI']
778598416020627456,['EDRacingUK']
4375468818,['kkaiunn']
1125612869033320448,['PeardAlmeda']
919821035117015042,['moli345moli1']
1090335153715662848,['morrow40505']
898510848859271168,['9OWMCRXv8mfxnDG']
902782653585391616,['a1KsVTJx575aOJu']
157258476,['dannieoyoy']
898511164329648134,['3FRC9xa0mIyw5Dv']
898512237320699905,['HfZGU5MzIWxqWQ4']
898516934186217473,['QGsg33N30LbRzYw']
1614047696,['timcaponigd']
898514096697606144,['t4n91mF5rnBOFtF']
915717733777592320,['KOW0QdnnkDfgvC7']
928938372948574208,['zd88888888']
1127824249,['CarriexWalker']
97330559,['jacquescza']
788333692682895360,['TARRADE5']
902818711429672960,['8Y47zqJHrzkZ02q']
915525346098851840,['rbhzwgDd3p1gWaZ']
898581372201250816,['lKOosFLgaVwPDss']
911961710566739968,['RimmaDemina8888']
920843984053813248,['Dpbek41Raheo']
77769365,['FACZDcz']
902817852000002048,['YvZvxaqVlJ3h6X5']
898578035284357120,['kjdwzpWSb42VZIo']
1084113984087822338,['qianzibaitai9']
1005232100,['segurosbaratosr']
979836488333611008,['zmIAS4GnkBFhVCr']
898584269370667008,['5BVcwrWZIALiMfE']
898578076048781313,['8snM9U7DKa6pRoE']
902819387039784960,['716oNcSKsiMXS4C']
898510974126305280,['W6iuB8TCTmPpzxK']
